"ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"txid1329411"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium aesculapii"
"txid1683"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium angulatum"
"txid2052941"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium callitrichidarum"
"txid1437609"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium callitrichos"
"txid1150460"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium catenulatum"
"txid2650773"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium cebidarum"
"txid1630172"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium hapali"
"txid2650774"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium leontopitheci"
"txid2834437"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium miconisargentati"
"txid1630166"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium myosotis"
"txid2834431"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium phasiani"
"txid2834432"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium pongonis"
"txid28026"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium pseudocatenulatum"
"txid78257"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium pullorum"
"txid1437610"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium reuteri"
"txid2045439"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium rousetti"
"txid2834433"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium saguinibicoloris"
"txid2306974"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium samirii"
"txid2809028"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium santillanense"
"txid158787"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Bifidobacteriales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium scardovii"
"txid2014528"	"k__Bacteria"	"p__Actinobacteria"	"c__Actinomycetia"	"o__Corynebacteriales"	"f__Corynebacteriaceae"	"g__Corynebacterium"	"s__Corynebacterium dentalis"
"txid2584469"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Olsenella"	"s__Olsenella lakotia"
"txid1852385"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Olsenella"	"s__Olsenella phocaeensis"
"txid1805478"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Olsenella"	"s__Olsenella timonensis"
"txid2003188"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Parolsenella"	"s__Parolsenella catena"
"txid1871031"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Thermophilibacter"	"s__Thermophilibacter mediterraneus"
"txid2603815"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella avium"
"txid1907654"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella bouchesdurhonensis"
"txid147207"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella intestinalis"
"txid1871016"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella phocaeensis"
"txid1937461"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella provencensis"
"txid147206"	"k__Bacteria"	"p__Actinobacteria"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella stercoris"
